pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	28	99	36	31	17	7	8	7	2	2	0	0	0
home---secondary	95	32	8	8	7	1	2	1	1	0	0	1	0
home---work	325	69	6	5	7	2	1	6	2	5	1	1	2
pt interaction---home	32	96	37	30	16	7	8	7	3	1	0	0	0
pt interaction---pt interaction	674	263	1	0	0	0	0	0	0	0	0	0	0
pt interaction---secondary	49	35	10	4	5	6	3	1	0	0	0	0	0
pt interaction---work	56	35	10	11	8	4	0	0	0	0	0	0	0
secondary---home	100	28	7	8	7	1	2	1	1	0	0	1	0
secondary---pt interaction	49	32	13	5	5	5	3	1	0	0	0	0	0
work---home	333	61	6	5	7	2	1	6	2	5	1	1	2
work---pt interaction	58	32	11	11	8	4	0	0	0	0	0	0	0

average trip duration: 406.8324624428478 seconds = 00:06:46
