pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
BeforeVrpSchedule---RideSharePickup	95	168	12	1	0	0	0	0	0	0	0	0	0
RideShareDropoff---RideSharePickup	56	49	2	0	0	0	0	0	0	0	0	0	0
RideShareDropoff---home	25	54	4	0	0	0	0	0	0	0	0	0	0
RideShareDropoff---secondary	56	44	5	0	0	0	0	0	0	0	0	0	0
RideShareDropoff---work	110	63	1	0	0	0	0	0	0	0	0	0	0
RideSharePickup---RideShareDropoff	394	74	1	0	0	0	0	0	0	0	0	0	0
RideShareStay---RideSharePickup	0	3	0	0	0	0	0	0	0	0	0	0	0
RideShareStay---work	27	2	0	0	0	0	0	0	0	0	0	0	0
home---pt interaction	0	7	0	5	0	1	0	1	1	0	0	0	0
home---secondary	47	11	3	2	4	2	6	4	2	5	5	1	52
home---work	108	35	91	44	17	11	6	1	0	0	0	1	1
pt interaction---home	0	7	2	3	0	1	0	1	1	0	0	0	0
pt interaction---pt interaction	42	10	0	0	0	0	0	0	0	0	0	0	0
pt interaction---secondary	3	0	0	0	0	2	0	1	0	0	0	0	0
pt interaction---work	6	0	0	1	2	0	0	0	0	0	0	0	0
secondary---home	44	12	0	4	0	1	1	5	0	3	5	3	45
secondary---pt interaction	2	1	0	1	0	1	0	1	0	0	0	0	0
work---RideSharePickup	45	37	1	0	0	0	0	0	0	0	0	0	0
work---home	113	15	6	8	15	27	10	11	9	12	10	11	26
work---pt interaction	6	0	0	1	1	1	0	0	0	0	0	0	0

average trip duration: 903.6964285714286 seconds = 00:15:03
