pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
BeforeVrpSchedule---RideSharePickup	103	152	20	0	0	0	0	0	0	0	0	0	0
RideShareDropoff---RideSharePickup	52	48	2	0	0	0	0	0	0	0	0	0	0
RideShareDropoff---home	32	58	9	0	0	0	0	0	0	0	0	0	0
RideShareDropoff---secondary	51	49	3	0	0	0	0	0	0	0	0	0	0
RideShareDropoff---work	115	59	1	0	0	0	0	0	0	0	0	0	0
RideSharePickup---RideShareDropoff	410	69	0	0	0	0	0	0	0	0	0	0	0
RideShareStay---RideSharePickup	2	1	0	0	0	0	0	0	0	0	0	0	0
RideShareStay---work	20	2	0	0	0	0	0	0	0	0	0	0	0
home---pt interaction	1	3	5	2	3	1	0	1	0	0	0	0	0
home---secondary	32	9	10	4	8	7	3	2	3	1	4	1	61
home---work	123	26	64	67	28	8	2	0	1	1	1	0	6
pt interaction---home	2	1	6	2	2	2	0	1	0	0	0	0	0
pt interaction---pt interaction	42	22	2	0	0	0	0	0	0	0	0	0	0
pt interaction---secondary	1	5	1	1	1	0	0	0	0	0	0	0	0
pt interaction---work	2	2	0	2	0	0	0	0	1	0	0	0	0
secondary---home	34	8	4	2	3	4	3	4	7	2	4	3	40
secondary---pt interaction	1	5	1	1	1	0	0	0	0	0	0	0	0
work---RideSharePickup	61	38	0	0	0	0	0	0	0	0	0	0	0
work---home	127	16	14	10	12	21	19	16	10	11	3	7	27
work---pt interaction	2	2	0	2	0	0	0	0	1	0	0	0	0

average trip duration: 888.951476793249 seconds = 00:14:48
