pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
BeforeVrpSchedule---RideSharePickup	102	184	24	0	0	0	0	0	0	0	0	0	0
RideShareDropoff---RideSharePickup	115	100	4	0	0	0	0	0	0	0	0	0	0
RideShareDropoff---home	51	85	15	1	0	0	0	0	0	0	0	0	0
RideShareDropoff---secondary	63	33	1	0	0	0	0	0	0	0	0	0	0
RideShareDropoff---work	131	81	2	0	0	0	0	0	0	0	0	0	0
RideSharePickup---RideShareDropoff	601	81	0	0	0	0	0	0	0	0	0	0	0
RideShareStay---RideSharePickup	0	1	0	0	0	0	0	0	0	0	0	0	0
RideShareStay---work	4	1	0	0	0	0	0	0	0	0	0	0	0
home---pt interaction	3	16	8	8	2	3	2	1	2	0	0	0	0
home---secondary	12	4	5	6	5	2	3	1	3	5	2	3	92
home---work	47	23	113	57	24	12	7	2	5	4	3	2	16
pt interaction---home	4	15	9	7	2	3	2	1	2	0	0	0	0
pt interaction---pt interaction	121	46	0	0	0	0	0	0	0	0	0	0	0
pt interaction---secondary	9	10	0	1	1	1	1	0	0	0	0	0	0
pt interaction---work	12	3	3	2	2	0	0	0	0	0	0	0	0
secondary---home	13	4	3	5	6	3	9	5	7	7	7	1	43
secondary---pt interaction	8	11	0	1	1	1	1	0	0	0	0	0	0
work---RideSharePickup	85	65	2	0	0	0	0	0	0	0	0	0	0
work---home	46	15	8	24	17	31	21	23	36	21	18	11	42
work---pt interaction	12	2	4	2	2	0	0	0	0	0	0	0	0

average trip duration: 1156.2843617368592 seconds = 00:19:16
