pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
BeforeVrpSchedule---RideSharePickup	118	147	12	0	0	0	0	0	0	0	0	0	0
RideShareDropoff---RideSharePickup	46	55	0	0	0	0	0	0	0	0	0	0	0
RideShareDropoff---home	33	55	4	0	0	0	0	0	0	0	0	0	0
RideShareDropoff---secondary	74	42	2	0	0	0	0	0	0	0	0	0	0
RideShareDropoff---work	101	71	2	0	0	0	0	0	0	0	0	0	0
RideSharePickup---RideShareDropoff	425	58	2	0	0	0	0	0	0	0	0	0	0
RideShareStay---RideSharePickup	3	11	1	0	0	0	0	0	0	0	0	0	0
RideShareStay---work	29	3	0	0	0	0	0	0	0	0	0	0	0
home---pt interaction	2	10	6	4	2	1	0	0	0	0	0	0	0
home---secondary	27	9	4	9	10	7	7	5	3	1	0	2	55
home---work	102	41	85	54	13	7	2	1	2	1	2	1	8
pt interaction---home	2	10	6	4	2	2	0	0	0	0	0	0	0
pt interaction---pt interaction	80	19	0	0	0	0	0	0	0	0	0	0	0
pt interaction---secondary	2	5	1	0	1	1	0	0	0	0	0	0	0
pt interaction---work	6	4	0	3	2	0	0	0	0	0	0	0	0
secondary---home	31	3	4	4	2	3	8	1	6	1	0	2	47
secondary---pt interaction	3	4	1	1	1	0	0	0	0	0	0	0	0
work---RideSharePickup	57	35	0	0	0	0	0	0	0	0	0	0	0
work---home	100	24	12	15	13	13	20	24	16	8	12	3	26
work---pt interaction	6	4	0	3	2	1	0	0	0	0	0	0	0

average trip duration: 898.4187474416701 seconds = 00:14:58
